,Unnamed: 0,Location,Ranking on list,Price class numeric,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexicansk,Steakhouse,City Area
0,0,"55.65107,12.50931",2148.0,99,Burger King,2450,0,0,0,0,0,0,0,0,0,kbh sv
1,1,"55.67788,12.591933",2146.0,99,Almanac,,0,0,0,0,0,0,0,0,0,andet
2,2,"55.6679,12.54941",2143.0,2,Star Midnight Kebab-Grill,,0,0,0,0,0,0,0,0,0,andet
3,3,"55.67502,12.580593",2137.0,99,Sunset Boulevard,1570,0,0,0,0,0,0,0,0,0,kbh v
4,4,"55.72732,12.524776",2104.0,2,Dwaraka Indisk Restaurant,2860,0,0,0,0,0,0,1,0,0,andet
5,5,"55.66268,12.56187",2103.0,99,McDonald's,1560,0,0,0,0,0,0,0,0,0,kbh v
6,6,"55.68939,12.55704",2100.0,99,Præg Kaffebar,2200,0,0,0,0,1,0,0,0,0,kbh n
7,7,"55.63103,12.57589",2099.0,99,Cafe Wok,2300,0,0,0,0,0,0,0,0,0,kbh s
8,8,"55.458576,12.183993",2090.0,99,Kujaku,1165,0,1,0,0,0,0,0,0,0,kbh k
9,9,"55.66731,12.55365",2085.0,99,Gastronomia Italiana Dieci,1720,0,0,0,0,0,0,0,0,0,kbh v
10,10,"55.67465,12.56565",2070.0,99,Restaurant Balkonen,1500,0,0,0,0,0,0,0,0,0,kbh v
11,11,"55.65197,12.63984",2053.0,99,Carisma ApS,,0,0,0,0,0,0,0,0,0,andet
12,12,"55.67854,12.5755",2179.0,1,Dan Dan Restaurant,,0,0,0,0,0,0,0,0,0,andet
13,13,"55.63226,12.5723",2172.0,99,Yam Yam,,0,0,0,0,0,0,0,0,0,andet
14,14,"55.65898,12.60988",2159.0,99,Krunch,2300,0,0,0,0,0,0,0,0,0,kbh s
15,15,"55.67945,12.580216",2141.0,2,Yoburger,1100,0,0,0,0,0,0,0,0,0,kbh k
16,16,"55.70468,12.57768",2131.0,99,McDonald's,2100,0,0,0,0,0,0,0,0,0,kbh ø
17,17,"55.678505,12.575671",2120.0,2,Copenhagen Asian Food,1161,0,0,0,0,0,0,0,0,0,kbh k
18,18,"55.65042,12.52806",2115.0,2,La Coruna Pizza,2450,1,0,0,0,0,0,0,0,0,kbh sv
19,19,"55.64461,12.61483",2107.0,99,Cafe Restaurant Hollywood,2100,0,0,0,0,0,0,0,0,0,kbh ø
20,20,"55.72161,12.5297",2097.0,99,Cafe Q,2400,0,0,0,0,0,0,0,0,0,valby
21,21,"55.674896,12.533771",182.0,1,Kokken & Karry,1820,0,0,0,0,0,0,1,0,0,frb.
22,22,"55.67772,12.572994",2180.0,2,Cafe Sari,1450,0,0,0,0,1,0,0,0,0,kbh k
23,23,"55.68049,12.588333",2178.0,2,Hong Kong Restaurant,,0,0,0,0,0,0,0,0,0,andet
24,24,"55.67645,12.569685",2175.0,1,"KFC, Rådhuspladsen",,0,0,0,0,0,0,0,0,0,andet
25,25,"55.70091,12.56682",2171.0,99,Cafe-Pavillonen,2100,0,0,0,0,0,0,0,0,0,kbh ø
26,26,"55.670574,12.560301",2170.0,2,Tapas Revolution,1700,0,0,0,0,0,0,0,0,0,kbh v
27,27,"55.630043,12.577994",2169.0,2,Sushibar Fields,2300,0,1,0,0,0,0,0,0,0,kbh s
28,28,"55.683167,12.572968",2168.0,99,Burger King Frederiksborggade,1360,0,0,0,0,0,0,0,0,0,kbh k
29,29,"55.6728,12.5519",2164.0,2,Ammessi,1620,1,0,0,0,0,1,0,0,0,kbh v
30,30,"55.70619,12.5775",2163.0,2,Hereford Steak House & Cafe New York,2100,0,0,0,0,0,0,0,0,1,kbh ø
31,31,"55.67854,12.5755",2156.0,2,Constellation Burger,1161,0,1,0,0,0,0,0,0,0,kbh k
32,32,"55.69068,12.48772",2153.0,2,Den Sorte Gryde,2720,0,0,0,0,0,0,0,0,0,andet
33,33,"55.706856,12.597767",2152.0,1,Original Coffee Nordhavn,2150,0,0,0,0,0,0,0,0,0,andet
34,34,"55.6613,12.62253",2151.0,99,Grill 110 & Sandwich,2300,0,0,0,0,0,0,0,0,0,kbh s
35,35,"55.681892,12.574772",2142.0,1,China,,0,0,0,0,0,0,0,0,0,andet
36,36,"55.70599,12.57588",2139.0,99,Café A,2100,0,0,0,0,0,0,0,0,0,kbh ø
37,37,"55.70414,12.52712",2135.0,99,Den sorte gryde,,0,0,0,0,0,0,0,0,0,andet
38,38,"55.67915,12.57413",2114.0,99,Joe & The Juice,1159,0,0,0,0,0,0,0,0,0,kbh k
39,39,"55.630337,12.577518",2109.0,99,Bagel Factory,2300,0,0,0,0,0,0,0,0,0,kbh s
40,40,"55.70938,12.578384",2079.0,99,Punjabi,,0,0,0,0,0,0,1,0,0,andet
41,41,"55.67673,12.564919",2046.0,99,Cocolo,1154,0,1,1,0,0,0,0,0,0,kbh k
42,42,"55.65184,12.53805",2040.0,2,Palermo Pizza,2450,1,0,0,0,0,0,0,0,0,kbh sv
43,43,"55.68833,12.55911",2030.0,99,Chuck & Cherry,2200,0,0,0,0,0,0,0,0,0,kbh n
44,44,"55.67174,12.52256",183.0,1,Restaurant Provianten,2000,0,0,0,0,0,0,0,0,0,frb.
45,45,"55.68425,12.5241",181.0,1,The Taco Shop,2000,0,0,0,0,0,0,0,1,0,frb.
46,46,"55.68432,12.50371",180.0,99,Flintholm Sushi - Running Sushi Og Take Away,2000,0,1,0,0,0,0,0,0,0,frb.
47,47,"55.67436,12.54965",177.0,99,Montgomerycph,1619,0,0,0,0,0,0,0,0,0,kbh v
48,48,"55.67873,12.50191",174.0,99,Thaiboksen,2000,0,0,0,0,0,0,0,0,0,frb.
49,49,"55.68638,12.53446",172.0,99,The Potato Factory,2000,0,0,0,0,0,0,0,0,0,frb.
50,50,"55.69413,12.53366",166.0,99,Kashmir,2000,0,0,0,0,0,0,1,0,0,frb.
51,51,"55.678158,12.572339",2166.0,2,City Kroen,1457,0,0,0,0,0,0,0,0,0,kbh k
52,52,"55.67502,12.580593",2165.0,2,Nachos Mexican Restaurant,,0,0,0,0,0,0,0,1,0,andet
53,53,"55.628696,12.645512",2162.0,2,Aviator Lounge,2770,0,0,0,0,0,0,0,0,0,andet
54,54,"55.66423,12.518",2158.0,1,Big bowl,,0,0,0,0,0,0,0,0,0,andet
55,55,"55.67896,12.580618",2157.0,2,America's Grill,1067,0,0,0,0,0,0,0,0,0,kbh k
56,56,"55.67958,12.58358",2155.0,2,Restaurant Parnas,,0,0,0,0,0,0,0,0,0,andet
57,57,"55.67952,12.59289",2150.0,2,HC Andersens Cafe,1051,0,0,0,0,0,0,0,0,0,kbh k
