,Name,Bubble,Review,Priceclass,Dollarsign,Priceclass_num
0,PUBLIC - The Italian Social Dining Bar,4.5,53,$$ - $$$,$$ - $$$,2.5
1,The Olive Kitchen & Bar,5,"2,135",$$ - $$$,$$ - $$$,2.5
2,Zahida at Kellerdirk,5,878,$$ - $$$,$$ - $$$,2.5
3,Cafe Komplet,4.5,350,$$ - $$$,$$ - $$$,2.5
4,Enomania,4.5,245,$$ - $$$,$$ - $$$,2.5
5,Husmann's Vinstue,4.5,254,$$ - $$$,$$ - $$$,2.5
6,Trattoria SUD,4.5,306,$$ - $$$,$$ - $$$,2.5
7,Basso Kobenhavn,4.5,339,$$ - $$$,$$ - $$$,2.5
8,Restaurant Schonnemann,4.5,161,$$ - $$$,$$ - $$$,2.5
9,BODIL - et spisested,4.5,208,$$ - $$$,$$ - $$$,2.5
10,The Red Box,4.5,515,$$ - $$$,$$ - $$$,2.5
11,Trattoria l’Alba,4.5,176,$$ - $$$,$$ - $$$,2.5
12,Che Fe,4.5,578,$$ - $$$,$$ - $$$,2.5
13,Cafe Patina,4.5,96,$$ - $$$,$$ - $$$,2.5
14,Goomi,4.5,271,$$ - $$$,$$ - $$$,2.5
15,Feed Bistro,4.5,548,$$ - $$$,$$ - $$$,2.5
16,Garden Restaurant & Bar,4.5,133,$$ - $$$,$$ - $$$,2.5
17,Grams Laekkerier,5,718,$,$,1.0
18,Pizzeria Mamemi & Wine Bar,5,927,$,$,1.0
19,Banana Joe,4.5,411,$,$,1.0
20,Restaurant Krebsegaarden,5,"1,310",$$$$,$$$$,4.0
21,Sollerod Kro,5,337,$$$$,$$$$,4.0
22,The Pescatarian,5,196,$$$$,$$$$,4.0
23,Geranium,4.5,"1,053",$$$$,$$$$,4.0
24,Marv & Ben,4.5,642,$$$$,$$$$,4.0
25,Kokkeriet,4.5,769,$$$$,$$$$,4.0
26,Mielcke & Hurtigkarl,4.5,252,$$$$,$$$$,4.0
27,Restaurant leaven,4.5,309,$$$$,$$$$,4.0
28,Studio - The Standard,4.5,452,$$$$,$$$$,4.0
29,Frederiks Have,4.5,529,$$$$,$$$$,4.0
