Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere
Restaurant Grønnegade,4.5,28.0,------16201.-664.,--$$$$---,525 anmeldelser,"55.681705,12.583386",199.0,4.5,Dansk,"Grønnegade 39, København 1107 Danmark",4.5,4.5,4.5
Basso København,4.5,18.0,------16127.-496.,--$$-$$$---------,345 anmeldelser,"55.68388,12.58657",459.0,4.5,Europæisk,"Dronningens Tvaergade 22, København 1302 Danmark",4.5,4.5,
Enomania,4.5,1.0,------16134.-168.,--$$-$$$------,245 anmeldelser,"55.670773,12.531963",3431.0,5.0,Europæisk,"Vesterbrogade 187, Frederiksberg, København 1800 Danmark",4.5,5.0,4.5
Restaurant Krebsegaarden,5.0,2.0,------16161.-396.,--$$$$---,1.310 anmeldelser,"55.67872,12.569877",908.0,5.0,Dansk,"Studiestraede 17, København 1455 Danmark",4.5,5.0,4.5
The Pescatarian,5.0,6.0,------16402.-597.,--$$$$------,198 anmeldelser,"55.68799,12.596316",1171.0,5.0,Dansk,"Amaliegade 49 On the corner of Amaliegade & Esplanaden, København 1256 Danmark",4.5,5.0,
Goomi,4.5,25.0,------1660.-449.,--$$-$$$------,271 anmeldelser,"55.673717,12.589529",772.0,4.5,Asiatisk,"Strandgade 20, København 1401 Danmark",4.5,4.5,4.5
Mielcke & Hurtigkarl,4.5,2.0,------161.408.-2.615.,--$$$$---,253 anmeldelser,"55.67468,12.530938",3390.0,4.5,Dansk,"Fr.Berg Runddel 1, Frederiksberg, København 2000 Danmark",4.5,4.5,4.5
Feed Bistro,4.5,26.0,"------16,,",--$$-$$$---,548 anmeldelser,"55.688663,12.559759",1811.0,4.5,Dansk,"Faelledvej 5, København 2200 Danmark",4.5,4.5,
Marv & Ben,4.5,10.0,------16208.-838.,--$$$$---,644 anmeldelser,"55.677303,12.576991",540.0,5.0,Dansk,"Snaregade 4, København 1205 Danmark",4.5,5.0,
Ché Fè,4.5,29.0,------16349.-496.,--$$-$$$---------,580 anmeldelser,"55.684223,12.585324",477.0,4.5,Europæisk,"Borgergade 17A, København 1300 Danmark",4.5,4.5,4.0
Restaurant leaven,4.5,16.0,------1634.-697.,--$$$$------,309 anmeldelser,"55.681232,12.584203",140.0,5.0,Fisk og skaldyr,"Ny Adelgade 4, København 1104 Danmark",4.5,5.0,
Restaurant Schonnemann,4.5,19.0,"------16,",--$$-$$$,162 anmeldelser,"55.68277,12.575768",613.0,4.5,Dansk,"Haydee Plads 16-28, København 1127 Danmark",4.5,4.5,
Restaurant Garden,4.5,30.0,------1674.-221.,--$$-$$$---,135 anmeldelser,"55.68335,12.57827",528.0,4.5,Dansk,"Gothersgade 87 Kælder, København 1123 Danmark",4.5,4.5,
BODIL - et spisested,4.5,20.0,------16382.-758.,--$$-$$$------,208 anmeldelser,"55.66416,12.545544",2994.0,4.5,International,"Søndre Boulevard 105, København 1720 Danmark",4.5,5.0,
The Olive Kitchen & Bar,5.0,3.0,------1674.-174.,--$$-$$$---------,2.141 anmeldelser,"55.68125,12.571284",821.0,5.0,Europæisk,"Nørregade 22, København 1165 Danmark",4.5,5.0,
Husmann's Vinstue,4.5,14.0,"------16,,",--$$-$$$---,255 anmeldelser,"55.677773,12.570244",908.0,5.0,Dansk,"Larsbjørnsstræde 2, København 1454 Danmark",4.5,4.5,4.5
Geranium,4.5,8.0,------161.261.-1.489.,--$$$$---,1.054 anmeldelser,"55.7036,12.572",2736.0,4.5,Dansk,"Per Henrik Lings Alle 4, 8., København Danmark",4.5,5.0,4.5
Søllerød Kro,5.0,4.0,------16396.-1.797.,--$$$$------,337 anmeldelser,"55.813576,12.495031",15869.0,5.0,Dansk,"Soelleroedvej 35 DK-2840 Holte, København 2840 Danmark",4.5,5.0,5.0
Studio - The Standard,4.5,22.0,"------16,,",--$$$$---,453 anmeldelser,"55.67783,12.592299",562.0,5.0,Dansk,"Havnegade 44, København 1058 Danmark",4.5,5.0,4.5
Café Patina,4.5,24.0,------1620.-201.,--$$-$$$---------,96 anmeldelser,"55.66791,12.548128",2629.0,5.0,Europæisk,"Mysundegade 26, København 1668 Danmark",4.5,4.5,
