God pris,Mad,Restaurant,Service,Stemning,Location,Number of reviews,Price class,Main rating,Ranking on list,Price range,Type of food,Address,Type of food link
45,45,Restaurant Grønnegade,45,45,"55.681705,12.583386",526,--$$$$---,"4,5",28,664,Dansk,"Grønnegade 39, København 1107 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, Dansk, Skandinavisk</div>"
45,45,Basso København,45,,"55.68388,12.58657",345,--$$-$$$---------,"4,5",18,496,Europæisk,"Dronningens Tvaergade 22, København 1302 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
45,50,Enomania,50,45,"55.670773,12.531963",245,--$$-$$$------,"4,5",1,NaN,Europæisk,"Vesterbrogade 187, Frederiksberg, København 1800 Danmark","<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g806262-c26-Frederiksberg_Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Vinstue</div>"
45,50,Restaurant Krebsegaarden,50,45,"55.67872,12.569877",1311,--$$$$---,"5,0",2,396,Dansk,"Studiestraede 17, København 1455 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,50,The Pescatarian,50,,"55.68799,12.596316",201,--$$$$------,"5,0",6,597,Dansk,"Amaliegade 49 On the corner of Amaliegade &amp; Esplanaden, København 1256 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Dansk, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
45,45,Goomi,45,45,"55.673717,12.589529",271,--$$-$$$------,"4,5",25,449,Asiatisk,"Strandgade 20, København 1401 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c11-Copenhagen_Zealand.html"">Kinesisk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, Moderne</div>"
45,45,Mielcke &amp; Hurtigkarl,45,45,"55.67468,12.530938",253,--$$$$---,"4,5",2,2.615,Dansk,"Fr.Berg Runddel 1, Frederiksberg, København 2000 Danmark","<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,45,Feed Bistro,45,,"55.688663,12.559759",548,--$$-$$$---,"4,5",26,NaN,Dansk,"Faelledvej 5, København 2200 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,50,Marv &amp; Ben,50,,"55.677303,12.576991",645,--$$$$---,"4,5",10,838,Dansk,"Snaregade 4, København 1205 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,45,Ché Fè,45,40,"55.684223,12.585324",581,--$$-$$$---------,"4,5",29,496,Europæisk,"Borgergade 17A, København 1300 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>"
45,50,Restaurant leaven,50,,"55.681232,12.584203",309,--$$$$------,"4,5",16,697,Fisk og skaldyr,"Ny Adelgade 4, København 1104 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, Vinstue</div>"
45,45,Restaurant Schonnemann,45,,"55.68277,12.575768",162,--$$-$$$,"4,5",19,NaN,Dansk,"Haydee Plads 16-28, København 1127 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Dansk, Skandinavisk</div>"
45,45,Restaurant Garden,45,,"55.68335,12.57827",135,--$$-$$$---,"4,5",30,221,Dansk,"Gothersgade 87 Kælder, København 1123 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
45,50,BODIL - et spisested,45,,"55.66416,12.545544",208,--$$-$$$------,"4,5",20,758,International,"Søndre Boulevard 105, København 1720 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, Skandinavisk, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>"
45,50,The Olive Kitchen &amp; Bar,50,,"55.68125,12.571284",2141,--$$-$$$---------,"5,0",3,175,Europæisk,"Nørregade 22, København 1165 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>"
45,45,Husmann's Vinstue,50,45,"55.677773,12.570244",255,--$$-$$$---,"4,5",14,NaN,Dansk,"Larsbjørnsstræde 2, København 1454 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,50,Geranium,45,45,"55.7036,12.572",1054,--$$$$---,"4,5",8,1.489,Dansk,"Per Henrik Lings Alle 4, 8., København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,50,Søllerød Kro,50,50,"55.813576,12.495031",337,--$$$$------,"5,0",4,1.797,Dansk,"Soelleroedvej 35 DK-2840 Holte, København 2840 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, Dansk, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a></div>"
45,50,Studio - The Standard,50,45,"55.67783,12.592299",453,--$$$$---,"4,5",22,NaN,Dansk,"Havnegade 44, København 1058 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,45,Café Patina,50,,"55.66791,12.548128",96,--$$-$$$---------,"4,5",24,201,Europæisk,"Mysundegade 26, København 1668 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c23-Copenhagen_Zealand.html"">Græsk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
45,45,Frederiks Have,45,45,"55.679256,12.524991",529,--$$$$---,"4,5",3,536,Dansk,"Smallegade 41, Frederiksberg, København 2000 Danmark","<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,50,Café Komplet,50,,"55.684692,12.588044",350,--$$-$$$------,"4,5",9,201,Dansk,"Store Kongensgade 65, København 1264 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Dansk, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>"
45,50,Grams Lækkerier,50,45,"55.671036,12.562724",721,--$---------,"5,0",1,101,Café,"Halmtorvet 1, København 1700 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
50,50,Banana Joe,50,45,"55.690052,12.559024",411,--$---------,"4,5",12,54,Amerikansk,"Elmegade 18, København 2200 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
