,Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking
1990,Café Koebenhavn,2.5,2000.0,,--$$$$$$,2,"55.62942,12.63948",6606.0,,,"Kastrup Airport, København Danmark",,,,$$$$$$,99,-2000.0,1
1988,Restaurant Laura,3.0,2013.0,------16,--$$-$$$,31,"55.77464,12.57555",10540.0,3.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Telt 52, 2, Dyrehavsbakken, 2930 Klampenborg, Denmark, København Danmark",3.0,3.0,,$$-$$$,2,-2013.0,2
1989,Canton Restaurant,3.0,2012.0,------16275.-1.106.,--$$-$$$------,73,"55.673065,12.558967",1758.0,3.0,Asiatisk,"Vesterbrogade 20, København 1620 Danmark",3.0,3.0,3.0,$$-$$$,2,-2012.0,3
1967,Mamma's,3.0,2010.0,,--$$$$$$,13,"55.67834,12.56556",1182.0,,,"Regnbuepladsen 3/5, København 1550 Danmark",,,,$$$$$$,99,-2010.0,4
1986,Nubilo Pizza,3.0,2009.0,,--$$$$$$,2,"55.66647,12.57651",1577.0,,,"Islands Brygge 27, København 2300 Danmark",,,,$$$$$$,99,-2009.0,5
1997,Hansens Is Kaffe,3.0,2004.0,,--$$$$$$,2,"55.67906,12.59222",514.0,,,"Nyhavn 42B, København Danmark",,,,$$$$$$,99,-2004.0,6
1980,Pizza House,3.0,2003.0,------16,---,14,"55.66273,12.56147",2389.0,,Pizza,"Kalvebod Brygge 59 Fisketorvet, København 1561 Danmark",,,,$$$$$$,99,-2003.0,7
1996,Sicilia Pizzeria,3.0,2001.0,"------16,",------,5,"55.70891,12.55807",3610.0,,Grill,"Haraldsgade 79, København Danmark",,,,$$$$$$,99,-2001.0,8
1992,Strand Pizza,3.0,1999.0,"------16,",--$$$$$$,3,"55.70404,12.58799",2686.0,,,"Strandboulevarden 72, København 2100 Danmark",,,,$$$$$$,99,-1999.0,9
1998,Dorfs Gastrobar,3.0,1998.0,------16101.-127.,--$$-$$$---,16,"55.679314,12.57634",498.0,3.5,Spansk,"Valkendorfsgade 22, København 1151 Danmark",,,,$$-$$$,2,-1998.0,10
