,Restaurant,Main rating,Ranking on list,Price range,Price class,Location,Distance from Kgs. Nytorv (m),Good price,Food,Service,Atmosphere,Type of food,Number of reviews,Address,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking,Pop kitchen
99,Restaurant Kanalen,4.0,122,,--$$$$---,"55.67551,12.593101",748.0,4.0,4.5,4.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",416,"Wilders Plads 2, København 1403 Danmark",$$$$,3,-122,1,[]
98,56°,4.5,120,248.0,--$$$$------,"55.684166,12.610067",1688.0,4.5,4.5,4.5,5.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Dansk, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>",208,"Krudtløbsvej 8, København 1439 Danmark",$$$$,3,-120,2,[]
97,Restaurant U Formel,4.5,116,,--$$$$---,"55.67674,12.564756",1270.0,4.0,4.5,4.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",504,"Studiestraede 69, København 1609 Danmark",$$$$,3,-116,3,[]
96,Christianshavns Færgecafé,4.5,115,288.0,--$$-$$$------,"55.67565,12.592472",708.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Spisested</div>",450,"Strandgade 50, København 1401 Danmark",$$-$$$,2,-115,4,['Fisk og skaldyr']
95,District Tonkin - Bánh Mí,4.5,113,121.0,--$---------,"55.683544,12.587593",450.0,4.5,4.5,4.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c41-Copenhagen_Zealand.html"">Vietnamesisk</a></div>",212,"Dronningens Tvaergade 12, København 1302 Danmark",$,1,-113,5,[]
93,Sidecar,4.5,107,295.0,--$$-$$$------,"55.687107,12.549084",2339.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c10686-Copenhagen_Zealand.html"">Gademad</a>, Dansk</div>",132,"Skyttegade 5, København 2200 Danmark",$$-$$$,2,-107,6,[]
92,Restaurant Kronborg,4.5,101,436.0,--$$-$$$---,"55.677628,12.574495",662.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",478,"Brolæggerstræde 12, København 1211 Danmark",$$-$$$,2,-101,7,[]
91,Slurp Ramen Joint,4.5,95,134.0,--$$-$$$---------,"55.685116,12.567047",1217.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c34-Copenhagen_Zealand.html"">Supper</a></div>",145,"Nansensgade 90, København 1366 Danmark",$$-$$$,2,-95,8,[]
90,Sticks'n'Sushi,4.5,93,550.0,--$$-$$$---------,"55.684326,12.566069",1235.0,4.0,4.5,4.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a></div>",434,"Nansensgade 59, København 1366 Danmark",$$-$$$,2,-93,9,['Fisk og skaldyr']
89,Damindra,4.5,91,764.0,--$$$$---------,"55.6788,12.590855",438.0,4.0,4.5,4.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, <a href=""/Restaurants-g189541-c38-Copenhagen_Zealand.html"">Sushi</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a></div>",481,"Holbergsgade 26 Copenhagen C, København 1054 Danmark",$$$$,3,-91,10,[]
