City Area,p pizza,p Sushi,p Fisk og skaldyr,p Thai,p Café,p Italiensk,p Indisk,p Mexicansk,p Steakhouse
andet,6.97,3.48,1.99,2.74,9.7,10.45,2.74,1.0,0.25
frb.,5.83,5.38,0.0,4.93,10.31,11.21,4.04,1.79,1.35
kbh k,4.44,2.58,5.16,2.01,10.74,11.6,1.43,1.86,1.58
kbh n,7.51,1.88,2.35,4.23,10.8,10.8,2.35,0.47,0.0
kbh s,10.43,8.59,2.45,3.07,8.59,13.5,4.29,0.61,1.84
kbh sv,9.38,3.12,0.0,3.12,9.38,9.38,3.12,0.0,3.12
kbh v,5.37,3.07,1.53,3.32,8.18,12.28,2.56,1.28,3.32
kbh ø,3.97,4.64,2.65,1.99,9.93,11.26,1.99,2.65,1.32
valby,13.64,11.36,4.55,2.27,13.64,11.36,2.27,2.27,0.0
mean_kitchen,7.5,4.9,2.3,3.08,10.14,11.31,2.75,1.33,1.42
