,Restaurant,Main rating,Ranking on list,Price range,Price class,Location,Good price,Food,Service,Atmosphere,Type of food,Number of reviews,Address,Type of food link,New price class,Price class numeric,Reverse ranking on list,Full ranking,Distance from Kgs. Nytorv (m),Postal code,Price_range_2
2,Star Midnight Kebab-Grill,1.0,2143.0,101,--$$-$$$---,"55.6679,12.54941",,,,,Grill,3.0,"Istedgade 101, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Grill, <a href=""/Restaurants-g189541-c30-Copenhagen_Zealand.html"">Mellemøstlig</a></div>",$$-$$$,2,-2143.0,3,3431.0, ,101
4,Dwaraka Indisk Restaurant,1.0,2104.0,141,--$$-$$$---,"55.72732,12.524776",,,,,Indisk,1.0,"Frederiksborgvej 221, St, København 2860 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c24-Copenhagen_Zealand.html"">Indisk</a></div>",$$-$$$,2,-2104.0,5,1171.0, 2860 ,141
15,Yoburger,1.5,2141.0,148,--$$-$$$------,"55.67945,12.580216",,,,,Amerikansk,3.0,"Oestergade 52 Illum mall, København 1100 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a></div>",$$-$$$,2,-2141.0,16,908.0, 1100 ,148
17,Copenhagen Asian Food,1.5,2120.0,175,--$$-$$$---,"55.678505,12.575671",,,,,Kinesisk,2.0,"Vimmelskaftet 39, C St, København 1161 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c11-Copenhagen_Zealand.html"">Kinesisk</a></div>",$$-$$$,2,-2120.0,18,15869.0, 1161 ,175
26,Tapas Revolution,2.0,2170.0,249,--$$-$$$---,"55.670574,12.560301",2.0,2.5,2.5,,Spansk,88.0,"Halmtorvet 18, København 1700 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c36-Copenhagen_Zealand.html"">Spansk</a>, Vinstue</div>",$$-$$$,2,-2170.0,27,369.0, 1700 ,249
31,Constellation Burger,2.0,2156.0,121,--$$-$$$---------,"55.67854,12.5755",2.5,2.0,3.0,,Amerikansk,21.0,"Vimmelskaftet 39C, København 1161 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c11-Copenhagen_Zealand.html"">Kinesisk</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c38-Copenhagen_Zealand.html"">Sushi</a></div>",$$-$$$,2,-2156.0,32,1186.0, 1161 ,121
32,Den Sorte Gryde,2.0,2153.0,101,--$$-$$$---,"55.69068,12.48772",2.0,2.0,2.5,,Dansk,13.0,"Jernbane Alle 79, København 2720 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Dansk</div>",$$-$$$,2,-2153.0,33,698.0, 2720 ,101
33,Original Coffee Nordhavn,2.0,2152.0,47,--$---,"55.706856,12.597767",,,,,Europæisk,5.0,"Göteborg Plads 11, København 2150 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk</div>",$,1,-2152.0,34,1152.0, 2150 ,47
55,America's Grill,2.5,2157.0,208,--$$-$$$---,"55.67896,12.580618",2.5,3.0,3.0,,Indiansk,72.0,"Nikolaj Plads 24, København 1067 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c35-Copenhagen_Zealand.html"">Sydamerikansk</a>, Indiansk</div>",$$-$$$,2,-2157.0,56,1366.0, 1067 ,208
62,Kafe Kapers,2.5,2136.0,222,--$$-$$$------,"55.705036,12.576987",2.5,3.0,2.5,3.0,Café,108.0,"Gunnar Nu Hansens Plads 2, København 2100 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, Bar</div>",$$-$$$,2,-2136.0,63,1819.0, 2100 ,222
64,Cafe Cornelius,2.5,2126.0,101,--$$-$$$---,"55.658333,12.608611",2.5,2.5,2.5,,Café,13.0,"Oeresundsvej, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a></div>",$$-$$$,2,-2126.0,65,3130.0, ,101
67,Khorn Vesterbro,2.5,2123.0,81,--$---,"55.67166,12.5466",,,,,Dansk,4.0,"Vesterbrogade 97, København 1620 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Dansk</div>",$,1,-2123.0,68,291.0, 1620 ,81
77,Restaurant OASI'D ITALIA,2.5,2105.0,101,--$$-$$$---,"55.67711,12.57562",2.5,2.5,3.0,2.5,Italiensk,31.0,"Kompagnistraede 19, København 1208 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a></div>",$$-$$$,2,-2105.0,78,363.0, 1208 ,101
78,Café Stafetten,2.5,2101.0,222,--$$-$$$------,"55.70475,12.57425",2.5,2.5,2.5,,Amerikansk,24.0,"Gunnar Nu Hansens Plads 9, København 2100 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Dansk</div>",$$-$$$,2,-2101.0,79,523.0, 2100 ,222
