,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexikansk,Steakhouse
0,Burger King, 2450 ,False,False,False,False,False,False,False,False,False
1,Almanac, ,False,False,False,False,False,False,False,False,False
2,Star Midnight Kebab-Grill, ,False,False,False,False,False,False,False,False,False
3,Sunset Boulevard, 1570 ,False,False,False,False,False,False,False,False,False
4,Dwaraka Indisk Restaurant, 2860 ,False,False,False,False,False,False,True,False,False
5,McDonald's, 1560 ,False,False,False,False,False,False,False,False,False
6,Præg Kaffebar, 2200 ,False,False,False,False,True,False,False,False,False
7,Cafe Wok, 2300 ,False,False,False,False,False,False,False,False,False
8,Kujaku, 1165 ,False,True,False,False,False,False,False,False,False
9,Gastronomia Italiana Dieci, 1720 ,False,False,False,False,False,False,False,False,False
10,Restaurant Balkonen, 1500 ,False,False,False,False,False,False,False,False,False
11,Carisma ApS, ,False,False,False,False,False,False,False,False,False
12,Dan Dan Restaurant, ,False,False,False,False,False,False,False,False,False
13,Yam Yam, ,False,False,False,False,False,False,False,False,False
14,Krunch, 2300 ,False,False,False,False,False,False,False,False,False
15,Yoburger, 1100 ,False,False,False,False,False,False,False,False,False
16,McDonald's, 2100 ,False,False,False,False,False,False,False,False,False
17,Copenhagen Asian Food, 1161 ,False,False,False,False,False,False,False,False,False
18,La Coruna Pizza, 2450 ,True,False,False,False,False,False,False,False,False
19,Cafe Restaurant Hollywood, 2100 ,False,False,False,False,False,False,False,False,False
20,Cafe Q, 2400 ,False,False,False,False,False,False,False,False,False
21,Kokken & Karry, 1820 ,False,False,False,False,False,False,True,False,False
22,Cafe Sari, 1450 ,False,False,False,False,True,False,False,False,False
23,Hong Kong Restaurant, ,False,False,False,False,False,False,False,False,False
24,"KFC, Rådhuspladsen", ,False,False,False,False,False,False,False,False,False
25,Cafe-Pavillonen, 2100 ,False,False,False,False,False,False,False,False,False
26,Tapas Revolution, 1700 ,False,False,False,False,False,False,False,False,False
27,Sushibar Fields, 2300 ,False,True,False,False,False,False,False,False,False
28,Burger King Frederiksborggade, 1360 ,False,False,False,False,False,False,False,False,False
